participant.code;participant.label;payoff_beneficiary;id_group_beneficiary;payoff_dg;role_dg;send_proxy;group_sent;exclusion;inclusion;own_team;other_team;fair;fair_benef;fair_benef_own;fair_benef_other;rejected;happy;well_being;easy;comments;age;gender;edu;condition
h9mbx3e0;5ee66f027fecd30400e752e5;10;48;5;2;5;5;2;4;;;4;4;4;4;5;8;9;3;;61;Male;4 Years Degree;treatment
efx4i9gl;6110b3ad12e59159c2b10529;10;49;5;1;;5;1;5;;;5;3;3;3;5;10;7;4;;19;Female;2 Years Degree;treatment
z9lnotp2;60f0dcfea2e25ca95ac11ebc;10;48;5;2;5;5;1;5;;;4;3;5;5;5;9;9;4;;37;Female;4 Years Degree;treatment
uhlvo8mm;613041ad32f566d195975bab;10;49;5;2;0;5;1;5;;;5;4;4;4;5;8;8;4;Just before the 2nd task, I was thinking of a strategy to myself, whereby I would try to collude with my color partner and only trade the beneficiary role with them.  When the other team got the role first I cursed to myself since I figured my purple buddy and I were screwed.  Then the second green gave to the other purple and it became apparent that everyone else decided to be cooperative.  I joined in of course and found my whole over-reaction pretty funny.  Though, if that second green hadn't been cooperative I suspect it probably would've gone exactly as I had guessed.;36;Male;High school graduate;treatment
a9k6qmzc;600c4d8f3381f8363c4a1899;10;49;5;1;;5;1;5;;;4;4;4;4;4;7;5;5;;30;Female;2 Years Degree;treatment
0jjz1ldv;61128089e0e00c58330b6b8f;10;49;5;2;5;5;1;5;;;5;5;5;5;5;10;8;5;;22;Male;2 Years Degree;treatment
7spu5eev;5e5a65b1909ae524ee939e2e;8;50;5;1;;5;4;2;;;3;3;3;4;2;6;3;4;There was such a long wait for players to decide in stage 2 that I almost quit thinking something was broken.;42;Female;4 Years Degree;treatment
9zv4akg8;5e372dfecb3c096c83115563;14;50;5;1;;5;1;5;;;4;4;4;4;5;9;6;5;THANK YOU FOR THIS CHALLENGING STUDY!;40;Female;4 Years Degree;treatment
8ow55rx1;614fc5f1246c9a684153d869;4;51;5;1;;5;4;2;;;2;4;4;4;2;9;5;5;Very entertaining study.  Thank you;44;Male;Some College;treatment
1wrp0c7c;5e1409c2265c80a3e963e159;6;50;5;2;5;5;4;2;;;1;2;2;2;3;4;3;4;Unfair how some players colluded in payouts;46;Male;Professional degree;treatment
adkyqn9v;5ee1339549cc8212bff574cd;14;53;5;1;;5;1;5;;;4;3;3;3;5;9;9;3;It’s disappointing that it took much more time than in the general description ;61;Female;Doctorate;treatment
4moeyqtd;5ef756bd60ee3e03dea31025;18;51;5;2;5;5;2;4;;;2;2;4;2;4;6;6;2;It was interesting to see how I felt between stage 2 and 3.;34;Male;4 Years Degree;treatment
59uqim0i;60d13d8046217e3b0ac6e124;4;51;5;2;2;5;5;1;;;2;2;1;3;1;2;7;5;;32;Male;Professional degree;treatment
1yt4gbf9;5e96ca27798a1e14b48ece30;14;51;5;2;1;5;3;3;;;1;1;1;1;4;8;5;5;;28;Male;Professional degree;treatment
0gw6siq1;5f1d13b205289d1bf55a209e;12;52;6;1;;4;2;4;;;2;2;3;2;4;8;6;4;no;35;Male;Professional degree;treatment
ri91q5no;60a1ea22beae90ffc84a355a;8;52;4;2;5;4;4;2;;;2;3;2;3;2;5;3;4;;27;Female;4 Years Degree;treatment
1hou6cc1;6087925d2423f00d24bc8591;14;52;5;1;;5;1;5;;;5;3;4;4;5;10;8;4;;21;Male;High school graduate;treatment
jhr8zj0r;6111b9b5d09a516526df3d79;6;52;5;2;5;5;3;4;;;4;4;4;4;4;4;8;3;;25;Male;Doctorate;treatment
knv8919h;5ddb84c67af661ad594e95d4;8;53;5;2;5;5;4;2;;;3;2;3;4;3;5;5;3;;34;Male;4 Years Degree;treatment
35jn2ngh;6161d02c95e37e29fcb2e325;12;54;6;1;;4;2;4;;;5;4;5;4;4;9;8;5;No;58;Male;4 Years Degree;treatment
hw63yr8u;61579af712a0caa5f08c0a48;8;54;4;2;5;4;4;2;;;2;2;3;2;3;6;5;5;;28;Male;Professional degree;treatment
z04ypfhw;61514cd1e15a7fc4f27dc8c4;12;54;5;1;;5;1;5;;;2;2;4;1;5;7;5;5;;35;Male;2 Years Degree;treatment
mtmmyg5g;559cc7e3fdf99b66d8b28f88;8;54;5;2;5;5;2;4;;;3;2;2;3;4;3;3;4;I found the information provided to be contradictory.  I won 8 points during stage 2, the table was clear.  The summary at the end of stage 2 said 7, which is impossible as one earns 2 at a time.  The explanation of payouts at the end said 6!  So which is it???;54;Male;Professional degree;treatment
